DateKey	FullDate	Year	Quarter	MonthNumber	MonthName	YearMonth	DayOfMonth	DayName	IsWeekend	FiscalYearSA	SeasonSouthernAfrica
20090802	2009-08-02	2009	3	8	August	2009-08	2	Sunday	1	FY2009/10	Winter
20090803	2009-08-03	2009	3	8	August	2009-08	3	Monday	0	FY2009/10	Winter
20090804	2009-08-04	2009	3	8	August	2009-08	4	Tuesday	0	FY2009/10	Winter
20090805	2009-08-05	2009	3	8	August	2009-08	5	Wednesday	0	FY2009/10	Winter
20090806	2009-08-06	2009	3	8	August	2009-08	6	Thursday	0	FY2009/10	Winter
20090807	2009-08-07	2009	3	8	August	2009-08	7	Friday	0	FY2009/10	Winter
20090808	2009-08-08	2009	3	8	August	2009-08	8	Saturday	1	FY2009/10	Winter
20090809	2009-08-09	2009	3	8	August	2009-08	9	Sunday	1	FY2009/10	Winter
20090810	2009-08-10	2009	3	8	August	2009-08	10	Monday	0	FY2009/10	Winter
20090811	2009-08-11	2009	3	8	August	2009-08	11	Tuesday	0	FY2009/10	Winter
20090812	2009-08-12	2009	3	8	August	2009-08	12	Wednesday	0	FY2009/10	Winter
20090813	2009-08-13	2009	3	8	August	2009-08	13	Thursday	0	FY2009/10	Winter
20090814	2009-08-14	2009	3	8	August	2009-08	14	Friday	0	FY2009/10	Winter
20090815	2009-08-15	2009	3	8	August	2009-08	15	Saturday	1	FY2009/10	Winter
20090816	2009-08-16	2009	3	8	August	2009-08	16	Sunday	1	FY2009/10	Winter
20090817	2009-08-17	2009	3	8	August	2009-08	17	Monday	0	FY2009/10	Winter
20090818	2009-08-18	2009	3	8	August	2009-08	18	Tuesday	0	FY2009/10	Winter
20090819	2009-08-19	2009	3	8	August	2009-08	19	Wednesday	0	FY2009/10	Winter
20090820	2009-08-20	2009	3	8	August	2009-08	20	Thursday	0	FY2009/10	Winter
20090821	2009-08-21	2009	3	8	August	2009-08	21	Friday	0	FY2009/10	Winter
20090822	2009-08-22	2009	3	8	August	2009-08	22	Saturday	1	FY2009/10	Winter
20090823	2009-08-23	2009	3	8	August	2009-08	23	Sunday	1	FY2009/10	Winter
20090824	2009-08-24	2009	3	8	August	2009-08	24	Monday	0	FY2009/10	Winter
20090825	2009-08-25	2009	3	8	August	2009-08	25	Tuesday	0	FY2009/10	Winter
20090826	2009-08-26	2009	3	8	August	2009-08	26	Wednesday	0	FY2009/10	Winter
20090827	2009-08-27	2009	3	8	August	2009-08	27	Thursday	0	FY2009/10	Winter
20090828	2009-08-28	2009	3	8	August	2009-08	28	Friday	0	FY2009/10	Winter
20090829	2009-08-29	2009	3	8	August	2009-08	29	Saturday	1	FY2009/10	Winter
20090830	2009-08-30	2009	3	8	August	2009-08	30	Sunday	1	FY2009/10	Winter
20090831	2009-08-31	2009	3	8	August	2009-08	31	Monday	0	FY2009/10	Winter
20090901	2009-09-01	2009	3	9	September	2009-09	1	Tuesday	0	FY2009/10	Spring
20090902	2009-09-02	2009	3	9	September	2009-09	2	Wednesday	0	FY2009/10	Spring
20090903	2009-09-03	2009	3	9	September	2009-09	3	Thursday	0	FY2009/10	Spring
20090904	2009-09-04	2009	3	9	September	2009-09	4	Friday	0	FY2009/10	Spring
20090905	2009-09-05	2009	3	9	September	2009-09	5	Saturday	1	FY2009/10	Spring
20090906	2009-09-06	2009	3	9	September	2009-09	6	Sunday	1	FY2009/10	Spring
20090907	2009-09-07	2009	3	9	September	2009-09	7	Monday	0	FY2009/10	Spring
20090908	2009-09-08	2009	3	9	September	2009-09	8	Tuesday	0	FY2009/10	Spring
20090909	2009-09-09	2009	3	9	September	2009-09	9	Wednesday	0	FY2009/10	Spring
20090910	2009-09-10	2009	3	9	September	2009-09	10	Thursday	0	FY2009/10	Spring
20090911	2009-09-11	2009	3	9	September	2009-09	11	Friday	0	FY2009/10	Spring
20090912	2009-09-12	2009	3	9	September	2009-09	12	Saturday	1	FY2009/10	Spring
20090913	2009-09-13	2009	3	9	September	2009-09	13	Sunday	1	FY2009/10	Spring
20090914	2009-09-14	2009	3	9	September	2009-09	14	Monday	0	FY2009/10	Spring
20090915	2009-09-15	2009	3	9	September	2009-09	15	Tuesday	0	FY2009/10	Spring
20090916	2009-09-16	2009	3	9	September	2009-09	16	Wednesday	0	FY2009/10	Spring
20090917	2009-09-17	2009	3	9	September	2009-09	17	Thursday	0	FY2009/10	Spring
20090918	2009-09-18	2009	3	9	September	2009-09	18	Friday	0	FY2009/10	Spring
20090919	2009-09-19	2009	3	9	September	2009-09	19	Saturday	1	FY2009/10	Spring
20090920	2009-09-20	2009	3	9	September	2009-09	20	Sunday	1	FY2009/10	Spring
20090921	2009-09-21	2009	3	9	September	2009-09	21	Monday	0	FY2009/10	Spring
20090922	2009-09-22	2009	3	9	September	2009-09	22	Tuesday	0	FY2009/10	Spring
20090923	2009-09-23	2009	3	9	September	2009-09	23	Wednesday	0	FY2009/10	Spring
20090924	2009-09-24	2009	3	9	September	2009-09	24	Thursday	0	FY2009/10	Spring
20090925	2009-09-25	2009	3	9	September	2009-09	25	Friday	0	FY2009/10	Spring
20090926	2009-09-26	2009	3	9	September	2009-09	26	Saturday	1	FY2009/10	Spring
20090927	2009-09-27	2009	3	9	September	2009-09	27	Sunday	1	FY2009/10	Spring
20090928	2009-09-28	2009	3	9	September	2009-09	28	Monday	0	FY2009/10	Spring
20090929	2009-09-29	2009	3	9	September	2009-09	29	Tuesday	0	FY2009/10	Spring
20090930	2009-09-30	2009	3	9	September	2009-09	30	Wednesday	0	FY2009/10	Spring
20091001	2009-10-01	2009	4	10	October	2009-10	1	Thursday	0	FY2009/10	Spring
20091002	2009-10-02	2009	4	10	October	2009-10	2	Friday	0	FY2009/10	Spring
20091003	2009-10-03	2009	4	10	October	2009-10	3	Saturday	1	FY2009/10	Spring
20091004	2009-10-04	2009	4	10	October	2009-10	4	Sunday	1	FY2009/10	Spring
20091005	2009-10-05	2009	4	10	October	2009-10	5	Monday	0	FY2009/10	Spring
20091006	2009-10-06	2009	4	10	October	2009-10	6	Tuesday	0	FY2009/10	Spring
20091007	2009-10-07	2009	4	10	October	2009-10	7	Wednesday	0	FY2009/10	Spring
20091008	2009-10-08	2009	4	10	October	2009-10	8	Thursday	0	FY2009/10	Spring
20091009	2009-10-09	2009	4	10	October	2009-10	9	Friday	0	FY2009/10	Spring
20091010	2009-10-10	2009	4	10	October	2009-10	10	Saturday	1	FY2009/10	Spring
20091011	2009-10-11	2009	4	10	October	2009-10	11	Sunday	1	FY2009/10	Spring
20091012	2009-10-12	2009	4	10	October	2009-10	12	Monday	0	FY2009/10	Spring
20091013	2009-10-13	2009	4	10	October	2009-10	13	Tuesday	0	FY2009/10	Spring
20091014	2009-10-14	2009	4	10	October	2009-10	14	Wednesday	0	FY2009/10	Spring
20091015	2009-10-15	2009	4	10	October	2009-10	15	Thursday	0	FY2009/10	Spring
20091016	2009-10-16	2009	4	10	October	2009-10	16	Friday	0	FY2009/10	Spring
20091017	2009-10-17	2009	4	10	October	2009-10	17	Saturday	1	FY2009/10	Spring
20091018	2009-10-18	2009	4	10	October	2009-10	18	Sunday	1	FY2009/10	Spring
20091019	2009-10-19	2009	4	10	October	2009-10	19	Monday	0	FY2009/10	Spring
20091020	2009-10-20	2009	4	10	October	2009-10	20	Tuesday	0	FY2009/10	Spring
20091021	2009-10-21	2009	4	10	October	2009-10	21	Wednesday	0	FY2009/10	Spring
20091022	2009-10-22	2009	4	10	October	2009-10	22	Thursday	0	FY2009/10	Spring
20091023	2009-10-23	2009	4	10	October	2009-10	23	Friday	0	FY2009/10	Spring
20091024	2009-10-24	2009	4	10	October	2009-10	24	Saturday	1	FY2009/10	Spring
20091025	2009-10-25	2009	4	10	October	2009-10	25	Sunday	1	FY2009/10	Spring
20091026	2009-10-26	2009	4	10	October	2009-10	26	Monday	0	FY2009/10	Spring
20091027	2009-10-27	2009	4	10	October	2009-10	27	Tuesday	0	FY2009/10	Spring
