YearMonth,Year,FiscalYearSA,LocationDescription,ProductName,EligibilityStatus,LitresIssued,TransactionCount
2019-11,2019,FY2019/20,DB-338,DIESEL,Eligible - Mining,8002.70,25
2019-11,2019,FY2019/20,Nitro+,DIESEL,Ineligible,86960.80,741
2019-11,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,197.00,4
2019-11,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,3.16,51
2019-11,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.29,5
2019-11,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,6.95,111
2019-11,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,437.06,208
2019-11,2019,FY2019/20,Stores LDV,PETROL,Ineligible,3396.20,96
2019-11,2019,FY2019/20,Ultra City,DIESEL,Ineligible,242815.20,123
2019-12,2019,FY2019/20,DB-270,DIESEL,Ineligible,53029.00,285
2019-12,2019,FY2019/20,DB-MCCA-126,DIESEL,Ineligible,12982.00,29
2019-12,2019,FY2019/20,Nitro+,DIESEL,Ineligible,86535.00,749
2019-12,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,612.00,27
2019-12,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,2478.00,74
2019-12,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,8954.00,79
2019-12,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.29,4
2019-12,2019,FY2019/20,ST-264,DYNATRANS,Eligible - Mining,3.33,51
2019-12,2019,FY2019/20,ST-264,ENGINE,Ineligible,0.29,4
2019-12,2019,FY2019/20,ST-264,HYDRAULIC,Eligible - Mining,6.83,112
2019-12,2019,FY2019/20,Ultra City,DIESEL,Ineligible,553294.00,207
2019-12,2019,FY2019/20,CHP-006,DIESEL,Ineligible,7134.30,19
2019-12,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,107398.00,359
2019-12,2019,FY2019/20,CON-074,DIESEL,Ineligible,23407.00,102
2019-12,2019,FY2019/20,DB-338,DIESEL,Eligible - Mining,90811.70,169
2019-12,2019,FY2019/20,Nitro+,TRANSMISSION,Ineligible,30.00,3
2019-12,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,7049.00,58
2019-12,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,0.37,6
2019-12,2019,FY2019/20,ST-264,TRANSMISSION,Eligible - Mining,2005.22,267
2019-12,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,155.02,4
2019-12,2019,FY2019/20,Stores LDV,PETROL,Ineligible,2597.20,61
2019-12,2019,FY2019/20,CHP-006,DIESEL,Eligible - Mining,107938.20,338
